Date,Open,High,Low,Close,Adj Close,Volume
"Oct 07, 2016",50.59,50.74,49.4,49.81,49.81,"6,18,809"
"Oct 06, 2016",49.65,50.63,49.33,50.44,50.44,"5,47,915"
"Oct 05, 2016",49.26,49.97,49.1,49.83,49.83,"5,20,070"
"Oct 04, 2016",48.65,49.26,48.26,48.69,48.69,"5,13,710"
"Oct 03, 2016",48.04,49.02,47.78,48.81,48.81,"4,58,021"
"Sep 30, 2016",47.76,48.3,47.04,48.24,48.24,"4,96,515"
"Sep 29, 2016",47.2,48.32,46.6,47.83,47.83,"7,02,649"
"Sep 28, 2016",44.96,47.45,44.35,47.05,47.05,"10,08,434"
"Sep 27, 2016",45.62,45.96,44.19,44.67,44.67,"6,30,757"
"Sep 26, 2016",44.62,46.2,44.43,45.93,45.93,"5,27,119"
"Sep 23, 2016",46.07,46.55,44.22,44.48,44.48,"7,18,395"
"Sep 22, 2016",45.62,46.52,45.52,46.32,46.32,"5,21,680"
"Sep 21, 2016",44.5,45.65,44.5,45.34,45.34,"5,85,987"
"Sep 20, 2016",43.13,44.05,42.55,43.44,43.44,"6,94,130"
"Sep 19, 2016",43.18,44.15,43.12,43.3,43.3,"1,29,857"
"Sep 16, 2016",43.71,43.75,42.74,43.03,43.03,"2,31,191"
"Sep 15, 2016",43.7,44.34,43.26,43.91,43.91,"5,37,185"
"Sep 14, 2016",45,45.33,43.42,43.58,43.58,"7,05,861"
"Sep 13, 2016",46.06,46.13,44.77,44.9,44.9,"6,57,775"
"Sep 12, 2016",45.57,46.51,44.72,46.29,46.29,"7,45,016"
"Sep 09, 2016",47.36,47.36,45.56,45.88,45.88,"6,88,191"
"Sep 08, 2016",46.12,47.75,45.77,47.62,47.62,"7,61,943"
"Sep 07, 2016",44.85,46.17,44.55,45.5,45.5,"5,72,884"
"Sep 06, 2016",44.15,46.53,43.84,44.83,44.83,"9,32,145"
"Sep 02, 2016",43.55,44.67,43.16,44.44,44.44,"5,76,915"
"Sep 01, 2016",44.85,45.08,43,43.16,43.16,"6,05,003"
"Aug 31, 2016",46.24,46.41,44.51,44.7,44.7,"5,49,007"
"Aug 30, 2016",46.98,47.49,46.21,46.35,46.35,"4,64,449"
"Aug 29, 2016",47.22,47.28,46.62,46.98,46.98,"3,09,254"
"Aug 26, 2016",47.37,48.46,46.94,47.64,47.64,"5,58,344"
"Aug 25, 2016",46.8,47.46,46.42,47.33,47.33,"4,58,816"
"Aug 24, 2016",47.59,47.74,46.45,46.77,46.77,"6,03,495"
"Aug 23, 2016",47.39,48.32,46.59,48.1,48.1,"6,23,904"
"Aug 22, 2016",48.4,48.4,46.75,47.05,47.05,"5,15,256"
"Aug 19, 2016",48.33,48.75,47.93,48.52,48.52,"1,62,438"
"Aug 18, 2016",46.9,48.38,46.63,48.22,48.22,"2,29,277"
"Aug 17, 2016",46.37,46.95,45.84,46.79,46.79,"5,63,354"
"Aug 16, 2016",45.59,46.73,45.34,46.58,46.58,"5,50,440"
"Aug 15, 2016",44.74,45.93,44.38,45.74,45.74,"5,22,526"
"Aug 12, 2016",43.46,44.78,43.31,44.49,44.49,"5,36,081"
